,neighborhood_name,neighborhood_latitude,neighborhood_longitude,vanue,vanue_category,venue_latitude,venue_longitude
0,"Rouge,Malvern",43.806686299999996,-79.19435340000001,Wendy's,Fast Food Restaurant,43.80744841934756,-79.19905558052072
1,"Rouge,Malvern",43.806686299999996,-79.19435340000001,Interprovincial Group,Print Shop,43.8056297,-79.2003784
2,"Rouge Hill,Port Union,Highland Creek",43.7845351,-79.16049709999999,Royal Canadian Legion,Bar,43.78253332838298,-79.16308473261682
3,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,G & G Electronics,Electronics Store,43.765309,-79.191537
4,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,Marina Spa,Spa,43.766,-79.191
5,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,Big Bite Burrito,Mexican Restaurant,43.766299084470795,-79.19071980583941
6,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,Enterprise Rent-A-Car,Rental Car Location,43.7640757,-79.1934057
7,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,Woburn Medical Centre,Medical Center,43.766631153138455,-79.19228553771973
8,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,Intersection,43.767704,-79.18949
9,"West Hill,Guildwood,Morningside",43.7635726,-79.1887115,Eggsmart,Breakfast Spot,43.7678,-79.190466
10,Woburn,43.7709921,-79.21691740000001,Starbucks,Coffee Shop,43.770037201625215,-79.22115586641958
11,Woburn,43.7709921,-79.21691740000001,Tim Hortons,Coffee Shop,43.7708270725628,-79.22307810384153
12,Woburn,43.7709921,-79.21691740000001,Korean Grill House,Korean Restaurant,43.7708117291354,-79.21450208834013
13,Cedarbrae,43.773136,-79.23947609999999,Federick Restaurant,Hakka Restaurant,43.77469659057996,-79.24114242818267
14,Cedarbrae,43.773136,-79.23947609999999,Drupati's Roti & Doubles,Caribbean Restaurant,43.775222138791534,-79.24167761001029
15,Cedarbrae,43.773136,-79.23947609999999,Thai One On,Thai Restaurant,43.77446763641413,-79.24126833717742
16,Cedarbrae,43.773136,-79.23947609999999,Centennial Recreation Centre,Athletics & Sports,43.77459330890341,-79.23649962433035
17,Cedarbrae,43.773136,-79.23947609999999,TD Canada Trust,Bank,43.7748302,-79.2412514
18,Cedarbrae,43.773136,-79.23947609999999,Petro-Canada,Gas Station,43.774106,-79.243097
19,Cedarbrae,43.773136,-79.23947609999999,B&A Bakery,Bakery,43.77439074389114,-79.24387684648542
20,Cedarbrae,43.773136,-79.23947609999999,The Avenue,Lounge,43.77243726897931,-79.24196241109247
21,Cedarbrae,43.773136,-79.23947609999999,Popeyes Louisiana Kitchen,Fried Chicken Joint,43.7759298356196,-79.23532833470263
22,Scarborough Village,43.7447342,-79.23947609999999,McCowan Park,Playground,43.74508851212816,-79.239335687338
23,"East Birchmount Park,Ionview,Kennedy Park",43.7279292,-79.26202940000002,Giant Tiger,Department Store,43.72744662939136,-79.26624035854763
