,vanue,vanue_category,venue_latitude,venue_longitude,neighborhood_name,neighborhood_latitude,neighborhood_longitude
0,Cafe Coffee Day,Coffee Shop,22.493967,88.400788,Ajoy Nagar,22.49252572,88.40341472
1,Bikrampur Medical Hall,Pharmacy,22.490961,88.4033,Ajoy Nagar,22.49252572,88.40341472
2,The Sugarr & Spice,Bakery,22.490921020507812,88.40430450439453,Ajoy Nagar,22.49252572,88.40341472
3,Samrat Guest House,Hotel,22.490734,88.403114,Ajoy Nagar,22.49252572,88.40341472
4,HDFC Bank ATM,ATM,22.491672,88.399969,Ajoy Nagar,22.49252572,88.40341472
5,Lalan Mancha,Concert Hall,22.494681,88.407059,Ajoy Nagar,22.49252572,88.40341472
6,Designas,IT Services,22.496698041463834,88.40434312820433,Ajoy Nagar,22.49252572,88.40341472
0,Piccadilly Square,Dessert Shop,22.52460326821862,88.3320793450184,Alipore,22.526,88.3341
1,Domino's Pizza,Pizza Place,22.525,88.334,Alipore,22.526,88.3341
2,The Agri-Horticultural Society of India,Garden,22.527184666711005,88.3327866494838,Alipore,22.526,88.3341
3,The Cream & Fudge Factory,Dessert Shop,22.52226963972952,88.33168745040894,Alipore,22.526,88.3341
4,Mangio,Italian Restaurant,22.52243643662978,88.3312542833858,Alipore,22.526,88.3341
0,"Big Bazaar, VIP Road",Department Store,22.6169463539868,88.43192761110498,Baguihati,22.6138,88.4339
1,Axis Bank ATM,ATM,22.61175,88.43509,Baguihati,22.6138,88.4339
2,MedPlus,Pharmacy,22.611948,88.436338,Baguihati,22.6138,88.4339
3,Axis Bank ATM,ATM,22.61669921875,88.433494567871,Baguihati,22.6138,88.4339
4,Vishal Mega Mart,Supermarket,22.61618972887133,88.4318733215332,Baguihati,22.6138,88.4339
5,Apollo Pharmacy,Pharmacy,22.612292,88.437278,Baguihati,22.6138,88.4339
6,Aught Bit Technologies,IT Services,22.613337403268844,88.42977046966553,Baguihati,22.6138,88.4339
0,6 Ballygunge Place,Bengali Restaurant,22.527711762714475,88.36867703124626,Ballygunge,22.53133325,88.36607995
1,Calcutta Cricket and Football Club,Sports Club,22.532939703121933,88.36423324314768,Ballygunge,22.53133325,88.36607995
2,Balaram Mullick & Radharaman Mullick,Indian Sweet Shop,22.52824557543919,88.36643815040588,Ballygunge,22.53133325,88.36607995
3,Paris Café,Bakery,22.534915239713765,88.36481159711806,Ballygunge,22.53133325,88.36607995
4,The Cream & Fudge Factory,Bakery,22.53454891550832,88.36485351370527,Ballygunge,22.53133325,88.36607995
5,Bohemian,Bengali Restaurant,22.529425566363432,88.3686920178698,Ballygunge,22.53133325,88.36607995
6,Ballygunge Phari,Plaza,22.527779798694564,88.36609482765198,Ballygunge,22.53133325,88.36607995
7,Domino's Pizza,Pizza Place,22.528,88.367,Ballygunge,22.53133325,88.36607995
8,Haldiram Food City,Vegetarian / Vegan Restaurant,22.532821925843496,88.36478765709987,Ballygunge,22.53133325,88.36607995
9,Ballygunge Dhaba,Dhaba,22.528196024796333,88.36578369140625,Ballygunge,22.53133325,88.36607995
10,Talwalkars,Gym,22.53209065111507,88.36480736732483,Ballygunge,22.53133325,88.36607995
11,Ice Skating Rink,Flea Market,22.52705001628729,88.36606309048823,Ballygunge,22.53133325,88.36607995
0,The Yellow Chilli,Diner,22.6107029111073,88.4085488319397,Bangur,22.6111,88.4091
1,Arsalan,Mughlai Restaurant,22.612243145453913,88.41101693653428,Bangur,22.6111,88.4091
2,Bangur Swimming Pool Association,Pool,22.608033748707644,88.4083697109312,Bangur,22.6111,88.4091
3,Panchforon,Bengali Restaurant,22.612346998600273,88.40597391128539,Bangur,22.6111,88.4091
4,Aminia,Indian Restaurant,22.61444664803176,88.41183185577393,Bangur,22.6111,88.4091
0,Apollo Pharmacy,Pharmacy,22.66198,88.3930279,Baranagar,22.6662,88.3940449
0,,,,,Barasat,22.7187,88.5517
0,,,,,Barrackpore,22.76685086,88.42298275
0,Arsalan,Mughlai Restaurant,22.51525278830483,88.32314729690552,Behala,22.5172,88.3191
1,Majerhat Railway Station,Train Station,22.519018939296277,88.32239627838135,Behala,22.5172,88.3191
2,VLCC,Health & Beauty Service,22.517213,88.323641,Behala,22.5172,88.3191
0,,,,,Belghoria,22.67504685,88.3968
0,Balaram Mullick & Radharaman Mullick,Indian Sweet Shop,22.53309675113572,88.34708213260403,Bhawanipur,22.52934417,88.34719521
1,Cafe Coffee Day,Café,22.525475667229617,88.3452969789505,Bhawanipur,22.52934417,88.34719521
2,Go Veg,Vegetarian / Vegan Restaurant,22.53271001540812,88.34854245185852,Bhawanipur,22.52934417,88.34719521
3,Variety Corner,Cosmetics Shop,22.533101452208804,88.3462142944336,Bhawanipur,22.52934417,88.34719521
0,Indian Coffee House,Café,22.576186678115835,88.36401300379693,Bow Bazar,22.57483427,88.3616
1,College Street Market,Bookstore,22.576320637232534,88.36363117811548,Bow Bazar,22.57483427,88.3616
2,College Square,Plaza,22.57474596671362,88.36389541625975,Bow Bazar,22.57483427,88.3616
3,Paramount,Juice Bar,22.573874166664815,88.3644962310791,Bow Bazar,22.57483427,88.3616
4,Putiram,Breakfast Spot,22.573943514597858,88.3636486530304,Bow Bazar,22.57483427,88.3616
5,College Square Swimming Club,Pool,22.575192497014992,88.36442286831601,Bow Bazar,22.57483427,88.3616
6,Md. Ali Park,Park,22.57750002609193,88.36071968078613,Bow Bazar,22.57483427,88.3616
7,Central Metro Station,Metro Station,22.572551595834753,88.35875630378723,Bow Bazar,22.57483427,88.3616
8,Himalaya Hotel,Hotel,22.579079685105327,88.36037893330958,Bow Bazar,22.57483427,88.3616
0,Golden Orchid F. L. Off Shop & Bar,Liquor Store,22.621985840869872,88.4375370328141,Chinar Park,22.6216,88.4355
1,Mehak-e-Punjab,Dhaba,22.621260383881843,88.43279600143433,Chinar Park,22.6216,88.4355
2,Hotel Heritage,Hotel,22.620403738899622,88.43275685966654,Chinar Park,22.6216,88.4355
3,Kings Crown Hotel & Resorts,Resort,22.622402955440986,88.43255333554842,Chinar Park,22.6216,88.4355
