key,,admin_name1,latitude,longitude,accuracy
IN,110001,New Delhi,28.6333,77.2167,4
IN,110002,New Delhi,28.6333,77.25,4
IN,110003,New Delhi,28.65,77.2167,
IN,110004,New Delhi,28.65,77.2167,
IN,110005,New Delhi,28.65,77.2,
IN,110006,New Delhi,28.65,77.2167,
IN,110007,New Delhi,28.6833,77.2,
IN,110008,New Delhi,28.65,77.2167,
IN,110010,New Delhi,28.55,77.2667,
IN,110011,New Delhi,28.55,77.2667,
IN,110012,New Delhi,28.55,77.2667,
IN,110013,New Delhi,28.55,77.2667,
IN,110014,New Delhi,28.55,77.2667,
IN,110015,New Delhi,28.55,77.2667,
IN,110016,New Delhi,28.55,77.2667,
IN,110017,New Delhi,28.55,77.2667,
IN,110018,New Delhi,28.55,77.2667,
IN,110019,New Delhi,28.55,77.2667,
IN,110020,New Delhi,28.6488,77.1726,
IN,110021,New Delhi,28.6488,77.1726,
IN,110022,New Delhi,28.6488,77.1726,
IN,110023,New Delhi,28.6488,77.1726,
IN,110024,New Delhi,28.6488,77.1726,
IN,110025,New Delhi,28.6488,77.1726,
IN,110026,New Delhi,28.6488,77.1726,
IN,110027,New Delhi,28.6488,77.1726,
IN,110028,New Delhi,28.6488,77.1726,
IN,110029,New Delhi,28.6488,77.1726,
IN,110030,New Delhi,28.7556,77.1667,
IN,110031,New Delhi,28.7556,77.1667,
IN,110032,New Delhi,28.6667,77.3167,4
IN,110033,New Delhi,28.7556,77.1667,
IN,110034,New Delhi,28.7556,77.1667,
IN,110035,New Delhi,28.7556,77.1667,
IN,110036,New Delhi,28.8,77.15,4
IN,110037,New Delhi,28.7556,77.1667,
IN,110038,New Delhi,28.7556,77.1667,
IN,110039,New Delhi,28.8,77.0333,4
IN,110040,New Delhi,28.85,77.1,
IN,110041,New Delhi,28.6092,77.1569,
IN,110042,New Delhi,28.6092,77.1569,
IN,110043,New Delhi,28.6125,76.9847,4
IN,110044,New Delhi,28.5083,77.3,
IN,110045,New Delhi,28.5667,77.1,
IN,110046,New Delhi,28.6092,77.1569,
IN,110047,New Delhi,28.6092,77.1569,
