,pincode,cordinates
0,700001,"('22.5736', '88.3483')"
4,700002,"('22.6189', '88.3732')"
41,700005,"('22.5981', '88.3581')"
9,700006,"('22.5891', '88.3688')"
7,700007,"('22.5826', '88.3617')"
50,700008,"('22.4812', '88.3135')"
26,700009,"('22.5767', '88.3735')"
42,700012,"('22.5684', '88.3616')"
14,700014,"('22.5596', '88.3705')"
15,700016,"('22.5535', '88.3566')"
11,700017,"('22.5409', '88.3681')"
8,700019,"('22.5280', '88.3660')"
32,700020,"('22.5378', '88.3515')"
10,700023,"('22.5317', '88.3196')"
29,700024,"('22.5485', '88.2877')"
39,700027,"('22.5260', '88.3341')"
20,700028,"('22.6320', '88.4166')"
23,700029,"('22.5176', '88.3494')"
37,700032,"('22.4937', '88.3693')"
48,700034,"('22.4979', '88.3191')"
5,700039,"('22.5280', '88.3863')"
46,700040,"('22.4869', '88.3509')"
36,700046,"('22.5461', '88.3861')"
49,700053,"('22.5108', '88.3328')"
30,700054,"('22.5801', '88.3905')"
44,700055,"('22.6111', '88.4091')"
27,700056,"('22.6736', '88.3870')"
6,700059,"('22.6138', '88.4339')"
19,700064,"('22.5925', '88.4127')"
13,700084,"('22.4600', '88.3822')"
2,700091,"('22.5817', '88.4304')"
17,700102,"('22.5950', '88.4367')"
45,700103,"('22.4453', '88.4056')"
24,700104,"('22.4288', '88.2880')"
28,700107,"('22.5132', '88.4018')"
40,700110,"('22.6932', '88.3793')"
38,700120,"('22.7522', '88.3790')"
12,700124,"('22.7187', '88.5044')"
3,700135,"('22.5995', '88.5287')"
21,700136,"('22.6216', '88.4355')"
33,700141,"('22.4734', '88.2510')"
18,700150,"('22.4813', '88.4501')"
1,700156,"('22.5837', '88.4696')"
35,700157,"('22.6145', '88.4530')"
22,711102,"('22.5665', '88.3215')"
43,711103,"('22.5574', '88.3094')"
16,741235,"('22.9666', '88.4368')"
47,743126,"('22.8764', '88.4391')"
31,743127,"('22.8256', '88.4060')"
34,743144,"('22.7955', '88.3728')"
25,743145,"('22.9376', '88.4348')"
