,pincode,latitude,longitude
114,700122,22.76685086,88.37641071
113,700121,22.76661355,88.42298275
112,700120,22.7522,88.379
111,700119,22.7348832,88.3966854
109,700117,22.7235113,88.3754246
110,700118,22.72313735,88.40797382
115,700123,22.71958235,88.4093435
116,700124,22.7187,88.5044
108,700116,22.71724115,88.36943555
35,700036,22.7145292,88.4662245
119,700127,22.71050576,88.46688515
107,700115,22.706,88.3715
122,700130,22.70088274,88.45295049
118,700126,22.70028334,88.45356415
105,700113,22.6999,88.4033
106,700114,22.69800663,88.37475613
123,700131,22.6970039,88.4420369
121,700129,22.69676326,88.46275084
103,700110,22.6932,88.3793
104,700111,22.6929042,88.3980869
141,700155,22.6912,88.477
117,700125,22.6908,88.5517
102,700109,22.6825664,88.38246305
124,700132,22.680229,88.4562535
125,700133,22.676905,88.4456533
56,700058,22.67504685,88.37387975
54,700056,22.6736,88.387
78,700083,22.6725,88.3968
120,700128,22.6690625,88.5300804
55,700057,22.6662,88.3648
49,700051,22.66344693,88.4200648
72,700076,22.6583,88.3601
47,700049,22.65108445,88.3940449
74,700079,22.6494,88.4272
76,700081,22.64843399,88.43363574
101,700108,22.6448,88.3813
62,700065,22.64330608,88.41118091
34,700035,22.6420729,88.3693735
84,700090,22.63814935,88.38315355
27,700028,22.632,88.4166
50,700052,22.6317737,88.43024735
48,700050,22.6299622,88.38181745
75,700080,22.6246233,88.4172204
70,700074,22.62308192,88.40550499
127,700136,22.6216,88.4355
1,700002,22.6189,88.3732
29,700030,22.6175297,88.39588259
143,700157,22.6145,88.453
57,700059,22.6138,88.4339
53,700055,22.6111,88.4091
83,700089,22.60442221,88.39995751
94,700101,22.6016482,88.4254938
3,700004,22.60041139,88.37404512
126,700135,22.5995,88.5287
4,700005,22.5981,88.3581
95,700102,22.595,88.4367
63,700067,22.59428028,88.38602029
61,700064,22.5925,88.4127
5,700006,22.5891,88.3688
36,700037,22.5849452,88.3921396
142,700156,22.5837,88.4696
6,700007,22.5826,88.3617
85,700091,22.5817,88.4304
52,700054,22.5801,88.3905
10,700011,22.5775,88.381
8,700009,22.5767,88.3735
99,700106,22.57608544,88.41477104
69,700073,22.57483427,88.36035072
0,700001,22.5736,88.3483
90,700097,22.5726216,88.4090735
11,700012,22.5684,88.3616
91,700098,22.56595899,88.41149702
68,700072,22.56553265,88.35660485
9,700010,22.56518144,88.39488349
20,700021,22.56459606,88.34330589
12,700013,22.56413812,88.3583619
65,700069,22.5623,88.3494
13,700014,22.5596,88.3705
81,700087,22.5594888,88.3532323
14,700015,22.55895235,88.37868832
15,700016,22.5535,88.3566
98,700105,22.55226806,88.39700757
21,700022,22.55195567,88.32955288
37,700038,22.55184823,88.34700582
2,700003,22.55011226,88.35758804
42,700044,22.55,88.2523
23,700024,22.5485,88.2877
17,700018,22.5481768,88.27011245
67,700071,22.54760763,88.34947781
44,700046,22.5461,88.3861
41,700043,22.54192548,88.30728786
16,700017,22.5409,88.3681
19,700020,22.5378,88.3515
46,700048,22.5358822,88.3913924
77,700082,22.535,88.2802
22,700023,22.5317,88.3196
40,700042,22.53133325,88.36607995
24,700025,22.52934417,88.34719521
18,700019,22.528,88.366
38,700039,22.528,88.3863
26,700027,22.526,88.3341
93,700100,22.5251,88.4126
25,700026,22.5201281,88.34780076
28,700029,22.5176,88.3494
82,700088,22.5172,88.3007
131,700143,22.514,88.2875
100,700107,22.5132,88.4018
58,700060,22.51245955,88.3021775
51,700053,22.5108,88.3328
32,700033,22.51073655,88.34947523
130,700142,22.509,88.275
30,700031,22.5075,88.3727
73,700078,22.50525755,88.38695459
64,700068,22.50376412,88.36420305
43,700045,22.50260194,88.35931292
33,700034,22.4979,88.3191
88,700095,22.4947,88.35952815
31,700032,22.4937,88.3693
92,700099,22.49252572,88.40341472
39,700040,22.4869,88.3509
86,700092,22.48280775,88.3503459
136,700150,22.4813,88.4501
7,700008,22.4812,88.3135
87,700094,22.48078374,88.39219055
59,700061,22.4780444,88.2910436
71,700075,22.47621429,88.39357788
45,700047,22.47379697,88.36813739
129,700141,22.4734,88.251
80,700086,22.4726577,88.37990858
66,700070,22.4656,88.3524
60,700063,22.46459246,88.31079238
138,700152,22.4633,88.4171
89,700096,22.46165139,88.36422657
79,700084,22.46,88.3822
128,700137,22.4463642,88.1598864
96,700103,22.4453,88.4056
139,700153,22.4443,88.3858
97,700104,22.4288,88.288
140,700154,22.4268,88.3579
134,700147,22.4059,88.4433
137,700151,22.4003,88.3846
135,700149,22.3953465,88.4023243
133,700145,22.3784795,88.42636315
132,700144,22.37290805,88.4282414
