,pincode,latitude,longitude,location,subzone,top_cuisines,popularity,nearby_res
114,700122,22.76685086,88.37641071,Barrackpore,Barrackpore,"Chinese,North Indian,Fast Food,Bengali,Mughlai",4.17,"17983797,18311142,18698012,23973,18663023,23644,21875,18224067,18265466"
113,700121,22.76661355,88.42298275,Barrackpore,Barrackpore,"Chinese,North Indian,Fast Food,Bengali,Mughlai",4.17,"17983797,18311142,18698012,23973,18663023,23644,21875,18224067,18265466"
112,700120,22.7522,88.37899999999999,Barrackpore,Barrackpore,"Chinese,North Indian,Fast Food,Bengali,Mughlai",4.17,"17983797,18311142,18698012,23973,18663023,23644,21875,18224067,18265466"
111,700119,22.7348832,88.39668540000001,Khardah,Khardah,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.95,"19127565,24311,25341,19114341,18198698,18602636,18544540,18611725,19206717"
109,700117,22.723511300000002,88.37542459999999,Khardah,Khardah,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.95,"19127565,24311,25341,19114341,18198698,18602636,18544540,18611725,19206717"
110,700118,22.72313735,88.40797382,Barrackpore,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
115,700123,22.71958235,88.4093435,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
116,700124,22.7187,88.5044,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
108,700116,22.71724115,88.36943555,Khardah,Khardah,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.95,"19127565,24311,25341,19114341,18198698,18602636,18544540,18611725,19206717"
35,700036,22.714529199999998,88.4662245,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
119,700127,22.71050576,88.46688515,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
107,700115,22.706,88.3715,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
122,700130,22.70088274,88.45295049,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
118,700126,22.70028334,88.45356415,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
105,700113,22.6999,88.4033,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
106,700114,22.69800663,88.37475613,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
123,700131,22.6970039,88.4420369,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
121,700129,22.69676326,88.46275084,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
103,700110,22.6932,88.3793,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
104,700111,22.692904199999997,88.39808690000001,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
141,700155,22.6912,88.477,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
117,700125,22.6908,88.5517,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
102,700109,22.6825664,88.38246305,Sodepur,Sodepur,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.85,"19127565,24311,18198698,18530236,25341,18602636,18544540,18611725,18386974"
124,700132,22.680229,88.4562535,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
125,700133,22.676904999999998,88.44565329999999,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
56,700058,22.67504685,88.37387975,Belghoria,Belghoria,"Chinese,North Indian,Biryani,Bengali,Fast Food",3.77,"18570279,23205,18549730,23631,19119892,22649,25206,25272,18456154"
54,700056,22.6736,88.387,Sodepur,Belghoria,"Chinese,North Indian,Biryani,Bengali,Fast Food",3.77,"18570279,23205,18549730,23631,19119892,22649,25206,25272,18456154"
78,700083,22.6725,88.3968,Belghoria,Belghoria,"Chinese,North Indian,Biryani,Bengali,Fast Food",3.77,"18570279,23205,18549730,23631,19119892,22649,25206,25272,18456154"
120,700128,22.6690625,88.5300804,New Town,New Town,"North Indian,Chinese,Biryani,Fast Food,Continental",3.54,"18581816,18249185,25538,19152824,18934854,21621,19157931,24678,18311125"
55,700057,22.6662,88.3648,Belghoria,Baranagar,"Chinese,North Indian,Fast Food,Bengali,Bakery",3.81,"21892,18471953,20640,23205,18676231,18549730,22649,21985,18706770"
49,700051,22.66344693,88.42006479999999,Barasat,Barasat,"Chinese,North Indian,Fast Food,Biryani,Bengali",3.41,"18354590,18632911,18793893,25269,21399,18649645,18565667,25489,18573062"
72,700076,22.6583,88.3601,Baranagar,Baranagar,"Chinese,North Indian,Fast Food,Bengali,Bakery",3.81,"21892,18471953,20640,23205,18676231,18549730,22649,21985,18706770"
47,700049,22.65108445,88.3940449,Belghoria,Baranagar,"Chinese,North Indian,Fast Food,Bengali,Bakery",3.81,"21892,18471953,20640,23205,18676231,18549730,22649,21985,18706770"
74,700079,22.6494,88.4272,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
76,700081,22.64843399,88.43363574,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
101,700108,22.6448,88.3813,Baranagar,Baranagar,"Chinese,North Indian,Fast Food,Bengali,Bakery",3.81,"21892,18471953,20640,23205,18676231,18549730,22649,21985,18706770"
62,700065,22.64330608,88.41118091,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
34,700035,22.6420729,88.3693735,Baranagar,Baranagar,"Chinese,North Indian,Fast Food,Bengali,Bakery",3.81,"21892,18471953,20640,23205,18676231,18549730,22649,21985,18706770"
84,700090,22.63814935,88.38315355,Baranagar,Baranagar,"Chinese,North Indian,Fast Food,Bengali,Bakery",3.81,"21892,18471953,20640,23205,18676231,18549730,22649,21985,18706770"
27,700028,22.631999999999998,88.4166,Dum Dum,Nagerbazar,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.31,"18676394,23227,18166923,21296,18017608,24547,18334323,23557,24808"
50,700052,22.6317737,88.43024735,Kaikhali,Kaikhali,"North Indian,Chinese,Fast Food,Biryani,Bengali",4.66,"24485,18848647,22165,18166925,18361657,18598556,18440204,24471,24808"
48,700050,22.6299622,88.38181745,Sinthi,Sinthi,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.64,"18398882,18439471,18471936,21892,24543,18214001,18706770,18589905,18551164"
75,700080,22.6246233,88.4172204,Dum Dum,Nagerbazar,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.31,"18676394,23227,18166923,21296,18017608,24547,18334323,23557,24808"
70,700074,22.62308192,88.40550499,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
127,700136,22.6216,88.4355,Kaikhali,Chinar Park,"North Indian,Chinese,Fast Food,Biryani,Continental",4.39,"24485,18166925,18414440,19028782,20894,18440204,21540,18270247,21881"
1,700002,22.6189,88.3732,Dum Dum,Paikpara,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.77,"18398882,18439471,18471936,18214001,18589905,18685103,20785,21341,18070806"
29,700030,22.6175297,88.39588259,Dum Dum,Dum Dum,"Chinese,North Indian,Fast Food,Bengali,Biryani",3.32,"23922,21552,23085,18678558,18822000,25251,18236290,18660416,18643181"
143,700157,22.6145,88.45299999999999,New Town,New Town,"North Indian,Chinese,Biryani,Fast Food,Continental",3.54,"18581816,18249185,25538,19152824,18934854,21621,19157931,24678,18311125"
57,700059,22.6138,88.4339,Baguihati,Baguihati,"Chinese,North Indian,Fast Food,Bengali,Biryani",4.57,"24485,18848647,22165,18676394,18166925,18361657,18598556,21296,24471"
53,700055,22.6111,88.4091,Bangur,Bangur,"Chinese,North Indian,Fast Food,Beverages,Desserts",4.86,"19059355,18568762,19300247,23227,21483,18166923,24760,18017608,21296"
83,700089,22.60442221,88.39995751,Lake Town,Lake Town,"Chinese,North Indian,Fast Food,Desserts,Beverages",4.92,"19059355,18568762,18377098,19300247,23227,18166923,18979667,18017608,24760"
94,700101,22.6016482,88.4254938,Kestopur,Kestopur,"North Indian,Chinese,Fast Food,Biryani,Bengali",4.43,"18712598,18162654,21483,18162667,18440200,18740148,18586622,18623944,18535732"
3,700004,22.60041139,88.37404512,Shyam Bazar,Shyam Bazar,"Chinese,North Indian,Fast Food,Biryani,Bengali",4.72,"23359,25208,18017618,18649952,21288,22078,25213,21612,18420477"
126,700135,22.5995,88.5287,New Town,New Town,"North Indian,Chinese,Biryani,Fast Food,Continental",3.54,"18581816,18249185,25538,19152824,18934854,21621,19157931,24678,18311125"
