,name,id,address,zipcode,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating,number_of_reviews
0,Fiesta,24590,"438, Santoshpur Avenue, Santoshpur, Kolkata",700075,Santoshpur,22.4934368272,88.3891655132,"Chinese, Thai",700,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned,Table booking recommended",4.0,259
1,Food Junction,18577170,"167, Shreerampur Garia, Kanungo Park, Garia, Kolkata",,Garia,22.4655656134,88.3792198822,"Biryani, North Indian, Chinese",400,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Digital Payments Accepted",3.9,395
2,Rang De Basanti Dhaba,19206717,"29F, 4th Floor, Traffic More, BT Road, North Barrackpore, Sodepur, Kolkata",,Sodepur,22.7015228769,88.3747010306,North Indian,800,"Takeaway Available,Debit Card,Dinner,Cash,Credit Card,Lunch,Delivery,Indoor Seating,Air Conditioned",3.9,130
3,Sengupta's,23571,"1/14, Poddar Nagar, Near Girls High School, Prince Anwar Shah Road, Kolkata",700068,Prince Anwar Shah Road,22.5013038181,88.3638464659,"Bengali, Biryani, North Indian, Chinese",300,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Indoor Seating,Digital Payments Accepted",3.5,1406
4,Adil Biryani Centre,22833,"38, Shamsul Huda Road, Ballygunge, Kolkata",,Ballygunge,22.5371674983,88.3700909838,"Biryani, Mughlai",150,"Lunch,Cash,Takeaway Available,Dinner,Delivery,Debit Card,Digital Payments Accepted,Catering Available",3.9,153
5,Cafe Ekante,25538,"Eco Island, Eco Park, New Town, Kolkata",,"Eco Park, New Town",22.5929670588,88.4693183005,Bengali,800,"Cash,Takeaway Available,Dinner,Credit Card,Delivery,Lunch,Indoor Seating,Wifi,Air Conditioned",3.9,548
6,Fat Belly,19214687,"P468 A, Keyatala Road, Hindustan Park, Golpark, Kolkata",,Golpark,22.5164904262,88.3613282070,"Asian, Tibetan, Chinese",800,"Lunch,Cash,Credit Card,Dinner,Takeaway Available,Debit Card,Free Parking,Free Wifi,Air Conditioned,Indoor Seating,Digital Payments Accepted,Kid Friendly",4.4,205
7,Benjamin Bangalee,18420484,"P/122 James Long Sarani, Behala, Kolkata",,Behala,22.4667324351,88.3109955490,"Bengali, Chinese, Seafood, Continental, Momos",600,"Dinner,Cash,Takeaway Available,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned,Table booking for Groups,Kid Friendly",3.8,314
8,Raj Darbar,22730,"492D, Diamond Harbour Road, Near 3A Bus Stand, Thakur Pukur, Kolkata",,Thakur Pukur,22.4581031134,88.3059610426,"North Indian, Mughlai, Kebab",350,"No Seating Available,Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card",3.3,36
9,Seasonal Tastes,18581816,"The Westin, International Financial Hub, New Town, Kolkata",,"The Westin Kolkata Rajarhat, New Town",22.5928197148,88.4733214974,"Continental, Biryani, American, North Indian, Asian",3000,"Cash,Credit Card,Breakfast,Dinner,Debit Card,Lunch,Table booking recommended,Buffet,Valet Parking Available,Indoor Seating,Air Conditioned,Wheelchair Accessible,All Day Breakfast,Brunch,Fullbar,4/5 Star",4.3,580
10,Hell's Kitchen,19322525,"286, Aghore Sarani, Barendra Para, Rajpur, Sonarpur, Kolkata",,Sonarpur,22.4362680000,88.4243930000,Chinese,400,"No Seating Available,Dinner,Delivery,Lunch,Cash",3.6,46
11,Hungryy Birdz,18662812,"A2/3, Srijani Park, Opposite Cancer Hospital, Thakur Pukur, Kolkata",,Thakur Pukur,22.4581590000,88.3207930000,"Chinese, North Indian",400,"No Seating Available,Dinner,Delivery,Lunch,Cash,Takeaway Available",3.6,177
12,Country Roads,18249185,"2nd Floor, The Galleria, Near Home Town, New Town, Kolkata",700156,New Town,22.5820077601,88.4607171267,"North Indian, Chinese, Continental",1200,"Dinner,Cash,Delivery,Credit Card,Lunch,Takeaway Available,Free Parking,Craft Beer,Indoor Seating,Digital Payments Accepted,Nightlife,Fullbar,Table booking recommended,Air Conditioned,Smoking Area",4.0,921
13,Bala Kitchen,18440200,"Thakdari Road, Samarpally, SA Block, Samarpally, Krishnapur, Kestopur, Kolkata",,Kestopur,22.5911763227,88.4335376322,"Chinese, North Indian, Bengali, Biryani",400,"Lunch,Cash,Takeaway Available,Dinner,Delivery",3.4,846
14,Blue And Beyond,21636,"The Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata",700087,"Hotel Lindsay, New Market",22.5590873999,88.3532292768,"Continental, North Indian, Chinese, Italian",1600,"Delivery,Lunch,Credit Card,Takeaway Available,Cash,Dinner,Debit Card,Live Entertainment,Fullbar,Table booking recommended,Live Sports Screening,Outdoor Seating,Air Conditioned,City View,Indoor Seating,Wifi,Valet Parking Available,Rooftop,Smoking Area",3.9,1403
15,Kasturi Restaurant,18663023,"55/26, S N Banerjee Road, Maya Complex, Barrackpore, Kolkata",,Barrackpore,22.7607740805,88.3685386553,"Bengali, Bangladeshi",400,"Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Lunch,Air Conditioned,Indoor Seating,Table booking recommended",4.1,290
16,Arsalan,21515,"23A/29N/2, Daimond Harbour Road, Near Kolkata Mint, New Alipore, Kolkata",0,New Alipore,22.5161376572,88.3233065531,"Mughlai, North Indian, Rolls, Biryani",1000,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.0,1064
17,Barbeque Nation,20842,"K1, RDB Boulevard, Block EP, GP, Sector 5, Salt Lake",0,"RDB Boulevard, Sector 5",22.5690605918,88.4334487841,"North Indian, Chinese, Kebab, BBQ",1800,"Dinner,Cash,Lunch,Credit Card,Debit Card,Indoor Seating,Air Conditioned,Buffet,Table reservation required,Kid Friendly",4.6,4135
18,@49,19300247,"AE 369, Sector 1, Salt Lake, Kolkata",,"Sector 1, Salt Lake",22.5997860000,88.4157530000,"Chinese, North Indian, Biryani",800,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Outdoor Seating,Rooftop,Indoor Seating,Air Conditioned",4.9,140
19,Carpe Diem,18634729,"18M, Park Street Area, Kolkata",,Park Street Area,22.5521092663,88.3526039869,"Chinese, North Indian, Continental",1000,"Lunch,Serves Alcohol,Cash,Credit Card,Dinner,Takeaway Available,Debit Card,DJ,Sports TV,Fullbar,Wifi,Live Sports Screening,Valet Parking Available,Indoor Seating,Air Conditioned,Smoking Area",4.4,2173
20,Arsalan,20796,"191, Park Street, Near 7 Point Crossing, Park Circus Area, Kolkata",,Park Circus Area,22.5437218487,88.3659798279,"Mughlai, North Indian, Rolls, Biryani",1000,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",4.1,2351
21,Domino's Pizza,18162649,"415, Ground Floor, N S Bose Road, Between Mandir Gate & Narendrapur Crossing, Near Ramakrishana Mission Narendrapur, Kolkata",,Narendra Pur,22.4422382729,88.3952926844,"Pizza, Fast Food",400,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Air Conditioned",3.9,364
22,Mugs & Shots,19170243,"DC 9A, City Centre 1, Sector 1, Salt Lake, Kolkata",,"City Centre 1, Sector 1, Salt Lake",22.5886252960,88.4090048075,"Salad, Chinese, Italian, Continental, North Indian, Spanish, Beverages",1500,"Dinner,Credit Card,Debit Card,Lunch,Cash,Takeaway Available,Indoor Seating,Air Conditioned,Smoking Area,Digital Payments Accepted",4.4,399
23,WOW! Momo,18565667,"Barasat Champadali More, Near Old Taxi Stand, Barasat, Kolkata",700124,Barasat,22.7192181127,88.4860710427,"Tibetan, Momos",400,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating",4.1,64
24,Piyali Restaurant,18236290,"19, Dr. S.P. Mukherjee Road, Near Dum Dum Police Station, Dum Dum, Kolkata",,Dum Dum,22.6363663239,88.4152526781,"North Indian, Chinese, Mughlai, Bengali",600,"Cash,Takeaway Available,Breakfast,Lunch,Delivery,Credit Card,Debit Card,No Alcohol Available,Dinner,Indoor Seating,Air Conditioned,Table Reservation Not Required",2.7,74
25,Blu Orchid,18607141,"C22, Sammilani Park, Survey Park Area, Ajoy Nagar, Kolkata",700075,Ajoy Nagar,22.4884166125,88.3912174031,"Chinese, Asian",700,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Card Upon Delivery",4.7,557
26,Nori,19157931,"The Westin Kolkata Rajarhat, Plot CBD/2, Action Area 2, New Town, Kolkata",,"The Westin Kolkata Rajarhat, New Town",22.5928249771,88.4733094275,"Japanese, Asian",2500,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Credit Card,Valet Parking Available,Indoor Seating,Table booking recommended,Fullbar,4/5 Star,Air Conditioned,Wheelchair Accessible",4.0,85
27,Noodle Oodle,18334323,"965, Near Diamond Plaza, Jessore Road, Nagerbazar, Kolkata",,Nagerbazar,22.6158947808,88.4121010825,"Chinese, Asian",400,"Lunch,Delivery,Credit Card,Dinner,Cash,Takeaway Available,Debit Card,Digital Payments Accepted",4.0,798
28,Kopai,18650723,"213, Sarat Bose Road, Near Post Office, Southern Avenue, Kolkata",700029,Southern Avenue,22.5136961239,88.3526093513,Bengali,400,"Dinner,Delivery,Credit Card,Lunch,Cash,Takeaway Available,Debit Card,Indoor Seating,Digital Payments Accepted,Kid Friendly,Table booking recommended,Air Conditioned",4.8,508
29,Red Panda,18404203,"1050/2, EM Bypass, Survey Park, Ajoy Nagar, Kolkata",700075,Ajoy Nagar,22.4867512215,88.3933034912,"Chinese, North Indian",800,"Lunch,Takeaway Available,Debit Card,No Alcohol Available,Dinner,Cash,Delivery,Credit Card,Indoor Seating,Table booking recommended,Air Conditioned,Smoking Area,Digital Payments Accepted",4.1,290
30,Lazeez Biryani,18761176,"1/A, Opposite Maulali Mazar, Convent Road, Park Circus Area, Kolkata",,Park Circus Area,22.5619170000,88.3673880000,"Biryani, Mughlai",300,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating,Digital Payments Accepted",3.6,231
31,Naturals Ice Cream,18589546,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata",700016,Park Street Area,22.5505700476,88.3546655998,Ice Cream,200,"Delivery,Takeaway Available,Credit Card,Cash,Debit Card,Air Conditioned,Desserts and Bakes,Indoor Seating,Pure Veg",4.9,1434
32,Social Kitchen - Holiday Inn,18440204,"Holiday Inn, Biswa Bangla Sarani, Chinar Park, Kolkata",700136,"Holiday Inn Kolkata Airport, Chinar Park",22.6234113000,88.4434295000,"North Indian, Asian, European, Chinese, Biryani",2200,"Dinner,Breakfast,Serves Alcohol,Debit Card,Takeaway Available,Credit Card,Lunch,Delivery,Cash,Wheelchair Accessible,Fullbar,Valet Parking Available,Wifi,Table booking recommended,Brunch,Indoor Seating,Buffet,Serves Cocktails,Air Conditioned,Beer",3.9,597
33,Kouzina Mining Co.,18568762,"AD 79, Sector 1, Salt Lake City, Kolkata",700064,"Sector 1, Salt Lake",22.5950165487,88.4049717709,"North Indian, Chinese, Mughlai, Continental, Beverages",1200,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Table booking recommended",4.7,753
34,Swade Ahlade,18530236,"11/1, Central Road, H B Town, Sodepur, Kolkata",700110,Sodepur,22.6961223652,88.3930573985,"Chinese, North Indian, Bengali, South Indian, Biryani, Fast Food",600,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",3.9,270
35,Hatari,24808,"Hotel Atithi Inn, Ground Floor, Raghunathpur, V.I.P. Road, Baguihati, Kolkata",,Baguihati,22.6186953689,88.4319829568,"Chinese, North Indian, Seafood",850,"Lunch,Delivery,Credit Card,No Alcohol Available,Dinner,Cash,Takeaway Available,Debit Card,Indoor Seating,Digital Payments Accepted,Table Reservation Not Required,Air Conditioned",4.2,777
